Element Type,Text,URL,Raw
Hyperlink,Enjoy the Rewards,https://www.aia.com.hk//en/health-and-wellness/aia-vitality/enjoy-the-rewards,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/health-and-wellness/aia-vitality/enjoy-the-rewards"" title=""Enjoy the Rewards"">Enjoy the Rewards
            </a>"
Hyperlink,Tutorial Videos,https://www.aia.com.hk//en/health-and-wellness/aia-vitality/tutorial-videos,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/health-and-wellness/aia-vitality/tutorial-videos"" title=""Tutorial Videos"">Tutorial Videos
            </a>"
Hyperlink,Our Partners,https://www.aia.com.hk//en/health-and-wellness/aia-vitality/our-partners,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/health-and-wellness/aia-vitality/our-partners"" title=""Our Partners"">Our Partners
            </a>"
Hyperlink,Explore more,https://www.aia.com.hk//en/health-and-wellness/aia-vitality/explore-more,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/health-and-wellness/aia-vitality/explore-more"" title=""Explore more"">Explore more
            </a>"
Hyperlink,Healthcare Services,https://www.aia.com.hk//en/health-and-wellness/healthcare-services,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/health-and-wellness/healthcare-services"" title=""Healthcare Services"">Healthcare Services
            </a>"
Hyperlink,Healthy Living with AIA,https://www.aia.com.hk//en/health-and-wellness/healthy-living-with-aia,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/health-and-wellness/healthy-living-with-aia"" title=""Healthy Living with AIA"">Healthy Living with AIA
            </a>"
Hyperlink,AIA Club Alta,https://www.aia.com.hk//en/aia-alta,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/aia-alta"" title=""AIA Club Alta"">AIA Club Alta
            </a>"
Hyperlink,AlA Alta Wealth Management Centre,https://www.aia.com.hk//en/aia-alta/wealth-management-centre,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/aia-alta/wealth-management-centre"" title=""AlA Alta Wealth Management Centre"">AlA Alta Wealth Management Centre
            </a>"
Hyperlink,AIA Alta Wellness Haven,https://www.aia.com.hk//en/aia-alta/wellness-haven,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/aia-alta/wellness-haven"" title=""AIA Alta Wellness Haven"">AIA Alta Wellness Haven
            </a>"
Hyperlink,Contact Us,https://www.aia.com.hk//en/help-and-support/individuals,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/individuals"" title=""Contact Us"">Contact Us
            </a>"
Hyperlink,Payment Information,https://www.aia.com.hk//en/help-and-support/policy-pension-and-payment-services,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/policy-pension-and-payment-services"" title=""Payment Information"">Payment Information
            </a>"
Hyperlink,Payment Options,https://www.aia.com.hk//en/help-and-support/policy-pension-and-payment-services/payment-options,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/policy-pension-and-payment-services/payment-options"" title=""Payment Options"">Payment Options
            </a>"
Hyperlink,Online Payment,https://www.aia.com.hk//en/help-and-support/policy-pension-and-payment-services/online-payment,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/policy-pension-and-payment-services/online-payment"" title=""Online Payment"">Online Payment
            </a>"
Hyperlink,Foreign Exchange Rates,https://www.aia.com.hk//en/help-and-support/individuals/exchange-rates.html,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/individuals/exchange-rates.html"" title=""Foreign Exchange Rates"">Foreign Exchange Rates
            </a>"
Hyperlink,Explore more,https://www.aia.com.hk//en/help-and-support/policy-pension-and-payment-services/explore-more,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/policy-pension-and-payment-services/explore-more"" title=""Explore more"">Explore more
            </a>"
Hyperlink,Health Care and Claims,https://www.aia.com.hk//en/help-and-support/health-care-and-claims,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-1"" data-cmp-clickable="""" href=""/en/help-and-support/health-care-and-claims"" title=""Health Care and Claims"">Health Care and Claims
            </a>"
Hyperlink,Doctors and Hospitals,https://www.aia.com.hk//en/help-and-support/health-care-and-claims/doctors-and-hospitals,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/health-care-and-claims/doctors-and-hospitals"" title=""Doctors and Hospitals"">Doctors and Hospitals
            </a>"
Hyperlink,File a claim,https://www.aia.com.hk//en/help-and-support/health-care-and-claims/file-a-claim,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/health-care-and-claims/file-a-claim"" title=""File a claim"">File a claim
            </a>"
Hyperlink,Common Outpatient Surgeries,https://www.aia.com.hk//en/help-and-support/health-care-and-claims/common-outpatient-surgeries,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/health-care-and-claims/common-outpatient-surgeries"" title=""Common Outpatient Surgeries"">Common Outpatient Surgeries
            </a>"
Hyperlink,Overseas Emergency Help,https://www.aia.com.hk//en/help-and-support/health-care-and-claims/overseas-emergency-help,"<a class=""cmp-navigation2__item-link-text cmp-navigation2__item-link-text-level-2"" data-cmp-clickable="""" href=""/en/help-and-support/health-care-and-claims/overseas-emergency-help"" title=""Overseas Emergency Help"">Overseas Emergency Help
            </a>"
